,genres,app_name,Item_name,Hours_Played,release_year,sentiment_analysis
433,Sports,GRID 2,GRID 2,5.72,2013,2
434,Indie,Unturned,Unturned,7.73,2017,2
435,Adventure,Castle Crashers®,Castle Crashers,5.9,2012,2
436,Simulation,Garry's Mod,Garry's Mod,1.62,2006,0
437,Action,Dirty Bomb®,Dirty Bomb,0.58,2015,2
438,Indie,Toribash,Toribash,26.87,2006,2
439,Action,Left 4 Dead 2,Left 4 Dead 2,8.32,2009,2
440,Action,Left 4 Dead 2,Left 4 Dead 2,10.27,2009,2
441,Action,"Star Wars: Battlefront 2 (Classic, 2005)",STAR WARS™ Battlefront™ II,6.65,2005,2
442,Adventure,Unturned,Unturned,29.07,2017,2
443,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,43.88,2012,2
444,Adventure,Rust,Rust,24.5,2013,2
445,Action,Warframe,Warframe,0.02,2013,2
446,Action,Just Cause 2,Just Cause 2,6.47,2010,2
447,Action,Counter-Strike: Source,Counter-Strike: Source,0.0,2004,2
448,Action,Counter-Strike: Source,Counter-Strike: Source,9.67,2004,2
449,RPG,Borderlands 2,Borderlands 2,3.05,2012,2
450,Indie,Garry's Mod,Garry's Mod,158.88,2006,2
451,Casual,Unturned,Unturned,0.0,2017,2
452,Action,ARK: Survival Evolved,ARK: Survival Evolved,39.77,2017,2
453,Indie,Starbound,Starbound,14.25,2016,2
454,Action,Saints Row: The Third,Saints Row: The Third,24.75,2011,2
455,Adventure,Rust,Rust,12.15,2013,2
456,Action,Surgeon Simulator,Surgeon Simulator,7.67,2013,2
457,Strategy,Worms Ultimate Mayhem,Worms Ultimate Mayhem,0.65,2011,0
458,Indie,LIMBO,LIMBO,8.65,2011,2
459,Action,The Binding of Isaac: Rebirth,The Binding of Isaac: Rebirth,17.28,2014,2
460,Action,Portal 2,Portal 2,12.13,2011,2
461,Adventure,Unturned,Unturned,0.23,2017,2
462,Indie,Rust,Rust,13.15,2013,2
463,Action,Warframe,Warframe,17.6,2013,2
464,Simulation,FTL: Faster Than Light,FTL: Faster Than Light,1.8,2012,0
465,Indie,Robocraft,Robocraft,3.5,2017,2
466,Simulation,Garry's Mod,Garry's Mod,0.57,2006,1
467,Action,Dungeon Defenders II,Dungeon Defenders II,0.65,2017,2
468,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,2.07,2012,1
469,Adventure,Unturned,Unturned,0.0,2017,2
470,Action,Torchlight II,Torchlight II,35.0,2012,2
471,Indie,Garry's Mod,Garry's Mod,319.07,2006,2
472,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,144.3,2012,2
473,Indie,DayZ,DayZ,72.32,2013,2
474,Simulation,Stardew Valley,Stardew Valley,3.05,2016,2
475,Casual,Dwarfs - F2P,Dwarfs F2P,0.57,2012,2
476,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,515.0,2012,1
477,Indie,Garry's Mod,Garry's Mod,17.8,2006,2
478,Action,Rust,Rust,0.0,2013,2
479,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.0,2012,2
480,Indie,Garry's Mod,Garry's Mod,631.17,2006,2
481,Indie,Garry's Mod,Garry's Mod,35.5,2006,2
482,Indie,Super Hexagon,Super Hexagon,1.35,2012,2
483,Indie,Squad,Squad,8.55,2015,2
484,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,10.75,2012,1
485,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,41.37,2012,2
486,Strategy,Sid Meier's Civilization® V,Sid Meier's Civilization V,52.42,2010,2
487,Action,Robocraft,Robocraft,0.0,2017,0
488,Casual,Goat Simulator,Goat Simulator,0.53,2014,2
489,Adventure,Starbound,Starbound,137.63,2016,2
490,Action,BattleBlock Theater®,BattleBlock Theater,5.95,2014,2
491,Massively Multiplayer,Heroes & Generals,Heroes & Generals,0.48,2016,2
492,Simulation,Age of Empires® III: Complete Collection,Age of Empires® III: Complete Collection,92.05,2009,2
493,Adventure,Monaco: What's Yours Is Mine,Monaco,2.58,2013,2
494,Adventure,Portal 2,Portal 2,24.9,2011,2
495,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,720.72,2012,2
496,Action,Unturned,Unturned,0.93,2017,2
497,Massively Multiplayer,Warface,Warface,2.13,2014,2
498,Indie,DayZ,DayZ,6.82,2013,0
499,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,609.13,2012,2
500,Action,Day of Defeat: Source,Day of Defeat: Source,0.07,2010,2
501,Action,DARK SOULS™: Prepare To Die™ Edition,Dark Souls: Prepare to Die Edition,0.02,2012,0
502,Indie,Terraria,Terraria,405.67,2011,2
503,Casual,Unturned,Unturned,217.37,2017,2
504,Adventure,Unturned,Unturned,32.62,2017,2
505,Early Access,Rust,Rust,386.55,2013,2
506,Action,Unturned,Unturned,12.62,2017,2
507,Indie,Spiral Knights,Spiral Knights,15.63,2011,2
508,Adventure,Terraria,Terraria,160.6,2011,2
509,Indie,Unturned,Unturned,8.18,2017,2
510,Simulation,Kerbal Space Program,Kerbal Space Program,59.15,2015,0
511,Strategy,Sanctum 2,Sanctum 2,18.63,2013,2
512,Action,Counter-Strike: Source,Counter-Strike: Source,12.97,2004,0
513,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,110.8,2012,2
514,Free to Play,theHunter Classic,theHunter,0.0,2014,0
515,Adventure,Just Cause 2,Just Cause 2,3.82,2010,2
516,Adventure,Mad Max,Mad Max,97.63,2015,2
517,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,1334.1,2012,0
518,Strategy,Arma 2: Operation Arrowhead,Arma 2: Operation Arrowhead,24.33,2010,2
519,RPG,Rust,Rust,15.03,2013,2
520,Action,Defiance,Defiance,5.6,2014,2
521,Action,Left 4 Dead 2,Left 4 Dead 2,44.53,2009,2
522,Indie,Garry's Mod,Garry's Mod,5.58,2006,0
523,Indie,Insurgency,Insurgency,0.0,2014,0
524,Free to Play,Defiance,Defiance,0.02,2014,2
525,Free to Play,Unturned,Unturned,135.13,2017,2
526,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,1.23,2012,2
527,Simulation,Garry's Mod,Garry's Mod,26.03,2006,2
528,Action,Counter-Strike: Source,Counter-Strike: Source,12.13,2004,2
529,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,345.12,2012,0
530,Action,Chivalry: Medieval Warfare,Chivalry: Medieval Warfare,1.75,2012,2
531,Indie,Garry's Mod,Garry's Mod,55.05,2006,0
532,Early Access,The Forest,The Forest,0.58,2014,2
533,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.0,2012,2
534,RPG,Borderlands: The Pre-Sequel,Borderlands: The Pre-Sequel,0.82,2014,0
535,Indie,Garry's Mod,Garry's Mod,10.63,2006,2
536,Adventure,Terraria,Terraria,124.83,2011,0
537,Indie,Guardians of Orion,ORION,1.32,2015,0
538,Simulation,Stardew Valley,Stardew Valley,21.0,2016,0
539,RPG,Mount & Blade: Warband,Mount & Blade: Warband,2.8,2010,2
540,Action,Unturned,Unturned,3.2,2017,2
541,Action,Unturned,Unturned,0.3,2017,2
542,Adventure,Brutal Legend,Brütal Legend,0.0,2013,2
543,Massively Multiplayer,Trove,Trove,6.13,2015,2
544,Early Access,Rust,Rust,2.57,2013,2
545,Adventure,Grand Theft Auto V,Grand Theft Auto V,512.78,2015,1
546,Action,Left 4 Dead 2,Left 4 Dead 2,3.68,2009,1
547,Free to Play,Awesomenauts - the 2D moba,Awesomenauts,27.38,2012,0
548,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,138.9,2012,2
549,Action,Rocket League®,Rocket League,6.72,2015,2
550,Adventure,ORION: Prelude,ORION: Prelude,1.02,2013,2
551,Action,Loadout,Loadout,7.07,2014,2
552,Action,Unturned,Unturned,0.8,2017,2
553,Adventure,Mirror's Edge™,Mirror's Edge,2.17,2009,2
554,Casual,Unturned,Unturned,0.02,2017,2
555,Casual,Unturned,Unturned,38.98,2017,2
556,Casual,Unturned,Unturned,52.6,2017,2
557,Casual,Unturned,Unturned,14.28,2017,2
558,Indie,Dungeon Defenders,Dungeon Defenders,8.83,2011,2
559,Casual,Unturned,Unturned,18.1,2017,2
560,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,162.07,2012,2
561,Free to Play,Brawlhalla,Brawlhalla,0.6,2017,2
562,Casual,Unturned,Unturned,18.67,2017,2
563,Simulation,Robocraft,Robocraft,0.75,2017,1
564,Massively Multiplayer,Rust,Rust,2.37,2013,0
565,Early Access,DayZ,DayZ,57.05,2013,2
566,Action,DayZ,DayZ,8.82,2013,2
567,Massively Multiplayer,Nether: Resurrected,Nether,8.12,2014,0
568,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,12.47,2012,2
569,Indie,Unturned,Unturned,2.15,2017,2
570,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,612.25,2012,2
571,Indie,Unturned,Unturned,31.57,2017,2
572,Action,Insurgency,Insurgency,10.25,2014,0
573,Action,Terraria,Terraria,17.07,2011,0
574,Simulation,Garry's Mod,Garry's Mod,112.83,2006,2
575,Action,Call of Duty®: Modern Warfare® 2,Call of Duty: Modern Warfare 2,0.43,2009,2
576,Simulation,Garry's Mod,Garry's Mod,40.43,2006,2
577,Massively Multiplayer,PlanetSide 2,PlanetSide 2,21.88,2012,1
578,Massively Multiplayer,H1Z1,H1Z1: King of the Kill,6.53,2016,2
579,Simulation,Garry's Mod,Garry's Mod,326.55,2006,2
580,Indie,Terraria,Terraria,76.1,2011,2
581,Simulation,Goat Simulator,Goat Simulator,9.75,2014,2
582,Massively Multiplayer,ARK: Survival Evolved,ARK: Survival Evolved,835.2,2017,0
583,Early Access,Rust,Rust,86.98,2013,2
584,Adventure,Starbound,Starbound,0.93,2016,2
585,Indie,DayZ,DayZ,16.98,2013,2
586,Massively Multiplayer,Robocraft,Robocraft,0.13,2017,0
587,Indie,Garry's Mod,Garry's Mod,6.5,2006,2
588,Indie,Loadout,Loadout,0.03,2014,0
589,Action,Heroes & Generals,Heroes & Generals,5.63,2016,0
590,Action,Counter-Strike: Source,Counter-Strike: Source,1.97,2004,2
591,Action,Unturned,Unturned,0.13,2017,2
592,Action,Chivalry: Medieval Warfare,Chivalry: Medieval Warfare,4.93,2012,2
593,Indie,Unturned,Unturned,2.77,2017,0
594,Casual,Unturned,Unturned,0.17,2017,2
595,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,307.82,2012,2
596,Free to Play,Dirty Bomb®,Dirty Bomb,1.25,2015,2
597,RPG,Terraria,Terraria,187.13,2011,2
598,Adventure,Unturned,Unturned,6.05,2017,2
599,Simulation,Arma 3,Arma 3,39.02,2013,2
600,Action,Dirty Bomb®,Dirty Bomb,0.0,2015,2
601,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,26.38,2012,2
602,Action,Mirror's Edge™,Mirror's Edge,0.0,2009,2
603,Adventure,Clicker Heroes,Clicker Heroes,0.1,2015,2
604,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,17.73,2012,2
605,Strategy,Arma 3,Arma 3,40.72,2013,2
606,Indie,No More Room in Hell,No More Room in Hell,3.0,2011,0
607,Adventure,Clicker Heroes,Clicker Heroes,1.03,2015,2
608,Simulation,Garry's Mod,Garry's Mod,1.0,2006,2
609,Indie,Garry's Mod,Garry's Mod,48.72,2006,2
610,RPG,Terraria,Terraria,69.45,2011,2
611,Casual,Castle Crashers®,Castle Crashers,2.13,2012,2
612,Massively Multiplayer,PlanetSide 2,PlanetSide 2,0.72,2012,2
613,RPG,Robocraft,Robocraft,25.15,2017,2
614,Action,Killing Floor,Killing Floor,0.33,2009,2
615,Free to Play,Awesomenauts - the 2D moba,Awesomenauts,15.18,2012,0
616,Simulation,Garry's Mod,Garry's Mod,53.37,2006,1
617,Free to Play,Robocraft,Robocraft,0.0,2017,2
618,Action,Terraria,Terraria,21.2,2011,2
619,Action,Terraria,Terraria,228.85,2011,2
620,Indie,No More Room in Hell,No More Room in Hell,0.0,2011,0
621,Racing,Rocket League®,Rocket League,53.32,2015,2
622,Action,Rust,Rust,0.05,2013,2
623,Free to Play,No More Room in Hell,No More Room in Hell,0.57,2011,0
624,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,33.08,2012,2
625,Strategy,Insurgency,Insurgency,34.2,2014,2
626,Action,Borderlands 2,Borderlands 2,27.68,2012,2
627,Action,Unturned,Unturned,13.8,2017,2
628,Indie,Garry's Mod,Garry's Mod,11.3,2006,2
629,Action,Saints Row: The Third,Saints Row: The Third,19.87,2011,2
630,Adventure,Rust,Rust,36.45,2013,2
631,Indie,Garry's Mod,Garry's Mod,482.78,2006,2
632,Adventure,Unturned,Unturned,33.9,2017,0
633,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.95,2012,1
634,Adventure,Rust,Rust,47.35,2013,2
635,RPG,Magicka,Magicka,0.02,2011,2
636,Indie,Heroes & Generals,Heroes & Generals,6.37,2016,0
637,Indie,Unturned,Unturned,84.3,2017,2
638,RPG,Crusader Kings II,Crusader Kings II,141.13,2012,0
639,Free to Play,Trove,Trove,0.02,2015,2
640,Simulation,Garry's Mod,Garry's Mod,1484.03,2006,2
641,Action,Bastion,Bastion,12.17,2011,2
642,Indie,Unturned,Unturned,21.58,2017,0
643,Free to Play,Unturned,Unturned,11.07,2017,2
644,Casual,Game Dev Tycoon,Game Dev Tycoon,9.32,2013,2
645,Action,Rocket League®,Rocket League,11.27,2015,2
646,Indie,Garry's Mod,Garry's Mod,249.87,2006,2
647,RPG,Undertale,Undertale,12.02,2015,2
648,Action,Unturned,Unturned,2.35,2017,2
649,Action,Warframe,Warframe,0.02,2013,2
650,Simulation,Garry's Mod,Garry's Mod,444.73,2006,0
651,Indie,Robocraft,Robocraft,2.42,2017,2
652,Action,Warframe,Warframe,16.83,2013,2
653,Free to Play,Unturned,Unturned,0.0,2017,2
654,Indie,LIMBO,LIMBO,2.62,2011,2
655,Free to Play,Unturned,Unturned,3.05,2017,2
656,Indie,Garry's Mod,Garry's Mod,0.75,2006,2
657,Indie,Undertale,Undertale,11.88,2015,2
658,Indie,Terraria,Terraria,22.0,2011,2
659,Action,Unturned,Unturned,96.57,2017,2
660,Massively Multiplayer,DayZ,DayZ,8.33,2013,2
661,Simulation,Garry's Mod,Garry's Mod,31.55,2006,2
662,Adventure,Unturned,Unturned,9.73,2017,0
663,Casual,Goat Simulator,Goat Simulator,2.82,2014,2
664,Free to Play,Brawlhalla,Brawlhalla,3.9,2017,2
665,Simulation,Five Nights at Freddy's,Five Nights at Freddy's,1.12,2014,0
666,Simulation,Garry's Mod,Garry's Mod,94.43,2006,2
667,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,6.42,2012,2
668,Indie,Terraria,Terraria,149.62,2011,0
669,Action,Fallout: New Vegas,Fallout: New Vegas,8.38,2010,2
670,Simulation,Garry's Mod,Garry's Mod,355.17,2006,2
671,Casual,Unturned,Unturned,0.37,2017,2
672,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,2.38,2012,2
673,Simulation,Robocraft,Robocraft,12.6,2017,0
674,Free to Play,Warframe,Warframe,0.0,2013,2
675,Simulation,Garry's Mod,Garry's Mod,115.33,2006,2
676,Massively Multiplayer,Rust,Rust,134.6,2013,2
677,Action,Arma 3,Arma 3,194.23,2013,2
678,Sports,Rocket League®,Rocket League,2.15,2015,2
679,Indie,Terraria,Terraria,0.0,2011,2
680,Action,Unturned,Unturned,0.13,2017,2
681,Casual,Unturned,Unturned,0.37,2017,2
682,RPG,Rust,Rust,46.8,2013,2
683,Action,Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,0.0,2005,2
684,Simulation,Garry's Mod,Garry's Mod,436.62,2006,2
685,Action,Warframe,Warframe,795.27,2013,2
686,Action,Gotham City Impostors Free to Play,Gotham City Impostors: Free To Play,0.65,2012,2
687,Massively Multiplayer,DayZ,DayZ,9.85,2013,2
688,Simulation,Garry's Mod,Garry's Mod,27.02,2006,2
689,Massively Multiplayer,Defiance,Defiance,0.0,2014,0
690,Free to Play,Warframe,Warframe,386.93,2013,2
691,Action,Wolfenstein: The New Order,Wolfenstein: The New Order,0.0,2014,2
692,Indie,Terraria,Terraria,90.22,2011,2
693,Adventure,Unturned,Unturned,0.0,2017,0
694,Massively Multiplayer,PlanetSide 2,PlanetSide 2,1.37,2012,2
695,Massively Multiplayer,Rust,Rust,118.43,2013,2
696,Strategy,Sid Meier's Civilization® V,Sid Meier's Civilization V,2.45,2010,2
697,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,12.97,2012,0
698,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,268.77,2012,2
699,Indie,Garry's Mod,Garry's Mod,11.35,2006,2
700,Adventure,Unturned,Unturned,1.53,2017,2
701,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,415.58,2012,0
702,Adventure,Castle Crashers®,Castle Crashers,2.23,2012,1
703,Indie,The Binding of Isaac,The Binding of Isaac,5.87,2011,2
704,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.65,2012,2
705,Indie,Loadout,Loadout,5.38,2014,2
706,Strategy,Super MNC,Super Monday Night Combat,0.0,2012,2
707,Indie,Goat Simulator,Goat Simulator,0.67,2014,2
708,Indie,Garry's Mod,Garry's Mod,0.32,2006,2
709,Indie,Realm of the Mad God,Realm of the Mad God,0.03,2012,2
710,Strategy,Sid Meier's Civilization® IV,Sid Meier's Civilization IV,12.3,2005,2
711,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,32.48,2012,2
712,Action,Half-Life 2,Half-Life 2,16.77,2004,2
713,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,330.13,2012,2
714,Free to Play,Unturned,Unturned,11.55,2017,2
715,Simulation,Robocraft,Robocraft,150.38,2017,2
716,Action,Left 4 Dead 2,Left 4 Dead 2,20.55,2009,2
717,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,0.18,2012,2
718,Simulation,Arma 2: Operation Arrowhead,Arma 2: Operation Arrowhead,2.4,2010,2
719,Free to Play,Unturned,Unturned,4.1,2017,0
720,Massively Multiplayer,Heroes & Generals,Heroes & Generals,3.78,2016,0
721,Indie,Unturned,Unturned,0.85,2017,2
722,Action,The Binding of Isaac,The Binding of Isaac,0.0,2011,0
723,Action,Unturned,Unturned,0.12,2017,2
724,Casual,Unturned,Unturned,17.15,2017,0
725,Simulation,Garry's Mod,Garry's Mod,52.08,2006,2
726,Adventure,Unturned,Unturned,26.9,2017,2
727,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,138.9,2012,2
728,Action,Rust,Rust,15.08,2013,2
729,Adventure,Unturned,Unturned,31.52,2017,2
730,Early Access,The Forest,The Forest,12.57,2014,2
731,Massively Multiplayer,Defiance,Defiance,0.0,2014,2
732,Action,The Binding of Isaac,The Binding of Isaac,6.23,2011,2
733,Indie,Garry's Mod,Garry's Mod,155.43,2006,2
734,Indie,Unturned,Unturned,0.5,2017,2
735,Indie,ARK: Survival Evolved,ARK: Survival Evolved,323.33,2017,0
736,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,41.95,2012,1
737,Adventure,Rust,Rust,3.5,2013,2
738,Casual,AdVenture Capitalist,AdVenture Capitalist,62.32,2015,2
739,Action,Rogue Legacy,Rogue Legacy,32.18,2013,2
740,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,209.67,2012,2
741,Indie,Garry's Mod,Garry's Mod,40.43,2006,1
742,Action,Unturned,Unturned,43.45,2017,2
743,Indie,No More Room in Hell,No More Room in Hell,0.48,2011,2
744,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,420.6,2012,2
745,Action,PlanetSide 2,PlanetSide 2,3.15,2012,2
746,Indie,Heroes & Generals,Heroes & Generals,14.0,2016,2
747,RPG,Crusader Kings II,Crusader Kings II,0.13,2012,0
748,Action,Spiral Knights,Spiral Knights,0.0,2011,2
749,Massively Multiplayer,ARK: Survival Evolved,ARK: Survival Evolved,517.08,2017,2
750,Action,Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,0.0,2005,2
751,RPG,Borderlands 2,Borderlands 2,45.68,2012,2
752,Action,Torchlight II,Torchlight II,22.05,2012,0
753,Adventure,Far Cry 3,Far Cry® 3,0.0,2012,0
754,Indie,POSTAL 2,POSTAL 2,0.0,2003,2
755,Action,Gotham City Impostors Free to Play,Gotham City Impostors: Free To Play,0.05,2012,0
756,Free to Play,Unturned,Unturned,6.72,2017,2
757,Early Access,DayZ,DayZ,1.87,2013,2
758,Indie,Unturned,Unturned,75.32,2017,2
759,Action,Unturned,Unturned,21.43,2017,2
760,Simulation,Garry's Mod,Garry's Mod,352.53,2006,1
761,Indie,Rocket League®,Rocket League,76.67,2015,2
762,Free to Play,Unturned,Unturned,14.47,2017,2
763,Casual,Unturned,Unturned,1.52,2017,0
764,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,265.9,2012,2
765,Casual,Unturned,Unturned,0.0,2017,2
766,Casual,BattleBlock Theater®,BattleBlock Theater,14.38,2014,2
767,Simulation,Goat Simulator,Goat Simulator,4.77,2014,2
768,RPG,Alpha Protocol™,Alpha Protocol,0.05,2010,2
769,Casual,Unturned,Unturned,6.25,2017,2
770,Adventure,Portal 2,Portal 2,18.98,2011,2
771,RPG,Rust,Rust,45.95,2013,0
772,Adventure,Terraria,Terraria,6.63,2011,0
773,Sports,Mount Your Friends,Mount Your Friends,1.3,2014,2
774,Action,Warframe,Warframe,795.27,2013,2
775,Massively Multiplayer,Heroes & Generals,Heroes & Generals,0.0,2016,2
776,RPG,Castle Crashers®,Castle Crashers,10.02,2012,2
777,Adventure,Middle-earth™: Shadow of Mordor™,Middle-earth: Shadow of Mordor,7.25,2014,2
778,Free to Play,Unturned,Unturned,5.75,2017,2
779,Racing,Rocket League®,Rocket League,0.0,2015,2
780,Free to Play,Warframe,Warframe,0.72,2013,0
781,Indie,Garry's Mod,Garry's Mod,3.78,2006,2
782,Action,Half-Life 2,Half-Life 2,2.1,2004,2
783,Action,Saints Row 2,Saints Row 2,180.3,2009,2
784,Free to Play,Clicker Heroes,Clicker Heroes,0.0,2015,2
785,Free to Play,Unturned,Unturned,0.8,2017,2
786,Racing,Burnout Paradise: The Ultimate Box,Burnout Paradise: The Ultimate Box,350.9,2009,2
787,Action,Half-Life,Half-Life,0.0,1998,2
788,Adventure,Portal 2,Portal 2,25.15,2011,2
789,Adventure,Unturned,Unturned,5.88,2017,2
790,Casual,Unturned,Unturned,0.67,2017,2
791,Strategy,Clicker Heroes,Clicker Heroes,8.65,2015,2
792,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,110.03,2012,2
793,Simulation,Garry's Mod,Garry's Mod,138.4,2006,0
794,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,84.5,2012,1
795,Action,State of Decay,State of Decay,22.27,2013,2
796,Free to Play,Dirty Bomb®,Dirty Bomb,0.2,2015,0
797,Adventure,Unturned,Unturned,1.45,2017,2
798,Action,Borderlands 2,Borderlands 2,6.47,2012,2
799,Free to Play,AdVenture Capitalist,AdVenture Capitalist,0.0,2015,2
800,Indie,The Long Dark,The Long Dark,0.18,2017,2
801,Simulation,Goat Simulator,Goat Simulator,1.1,2014,2
802,Adventure,Don't Starve Together,Don't Starve Together,5.73,2016,2
803,Indie,Garry's Mod,Garry's Mod,456.63,2006,2
804,RPG,Borderlands 2,Borderlands 2,0.0,2012,2
805,Action,Heroes & Generals,Heroes & Generals,0.8,2016,2
806,Indie,Unturned,Unturned,0.47,2017,2
807,Simulation,Garry's Mod,Garry's Mod,23.25,2006,2
808,Free to Play,Unturned,Unturned,0.97,2017,2
809,Massively Multiplayer,DayZ,DayZ,154.2,2013,2
810,Action,Unturned,Unturned,0.0,2017,2
811,Action,Rust,Rust,2.02,2013,2
812,Action,BioShock Infinite,BioShock Infinite,0.0,2013,2
813,Simulation,Garry's Mod,Garry's Mod,0.0,2006,2
814,Adventure,Unturned,Unturned,25.75,2017,0
815,Free to Play,Unturned,Unturned,12.72,2017,2
816,Simulation,Garry's Mod,Garry's Mod,20.85,2006,2
817,Simulation,Garry's Mod,Garry's Mod,3446.82,2006,2
818,Simulation,Garry's Mod,Garry's Mod,1478.68,2006,0
819,Indie,Garry's Mod,Garry's Mod,1191.97,2006,2
820,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,384.93,2012,2
821,Massively Multiplayer,PlanetSide 2,PlanetSide 2,12.67,2012,2
822,RPG,Terraria,Terraria,40.35,2011,2
823,Action,Left 4 Dead 2,Left 4 Dead 2,29.7,2009,2
824,Casual,Unturned,Unturned,7.53,2017,2
825,Indie,Rocket League®,Rocket League,3.95,2015,2
826,Simulation,Five Nights at Freddy's,Five Nights at Freddy's,1.0,2014,2
827,Free to Play,PlanetSide 2,PlanetSide 2,5.58,2012,1
828,RPG,Fallout 4,Fallout 4,97.08,2015,0
829,Free to Play,Warframe,Warframe,0.0,2013,2
830,Free to Play,Unturned,Unturned,42.35,2017,2
831,Action,Arma 3,Arma 3,403.63,2013,1
832,Strategy,Insurgency,Insurgency,17.17,2014,2
833,Adventure,Unturned,Unturned,0.0,2017,2
834,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,1561.38,2012,2
835,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,99.38,2012,2
836,Action,Realm of the Mad God,Realm of the Mad God,0.02,2012,2
837,Action,BioShock Infinite,BioShock Infinite,10.32,2013,2
838,Indie,Unturned,Unturned,33.62,2017,2
839,Indie,Rust,Rust,38.27,2013,2
840,Action,Unturned,Unturned,2.75,2017,2
841,Indie,Garry's Mod,Garry's Mod,84.1,2006,2
842,Adventure,Portal 2,Portal 2,2.62,2011,2
843,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,96.7,2012,2
844,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,449.47,2012,0
845,Action,Just Cause 2,Just Cause 2,1.28,2010,0
846,Massively Multiplayer,ARK: Survival Evolved,ARK: Survival Evolved,0.47,2017,0
847,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,33.55,2012,2
848,Casual,Unturned,Unturned,4.35,2017,0
849,RPG,Borderlands 2,Borderlands 2,49.12,2012,2
850,Action,Call of Duty®: Black Ops II,Call of Duty: Black Ops II,2.65,2012,0
851,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,5.5,2012,2
852,Indie,Spiral Knights,Spiral Knights,0.0,2011,2
853,Action,Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,0.0,2005,2
854,Early Access,Rust,Rust,7.55,2013,2
855,RPG,Terraria,Terraria,206.37,2011,0
856,Action,Natural Selection 2,Natural Selection 2,54.88,2012,2
857,Adventure,The Expendabros,The Expendabros,1.02,2014,2
858,Action,Batman: Arkham Asylum Game of the Year Edition,Batman: Arkham Asylum GOTY Edition,1.62,2010,0
859,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,768.63,2012,0
860,Massively Multiplayer,PlanetSide 2,PlanetSide 2,27.45,2012,2
861,Action,Half-Life 2,Half-Life 2,2.32,2004,2
862,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,522.37,2012,2
863,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,992.18,2012,2
864,Action,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,26.68,2012,2
865,Action,Unturned,Unturned,207.67,2017,2
866,Action,Robocraft,Robocraft,0.0,2017,2
